Lat:;10.6762566814;lon:;104.579657453;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;12.0
1985-02-01 00:00:00;1985;2;1;34.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;134.0
1985-05-01 00:00:00;1985;5;1;175.0
1985-06-01 00:00:00;1985;6;1;100.0
1985-07-01 00:00:00;1985;7;1;227.0
1985-08-01 00:00:00;1985;8;1;116.0
1985-09-01 00:00:00;1985;9;1;203.0
1985-10-01 00:00:00;1985;10;1;140.0
1985-11-01 00:00:00;1985;11;1;84.0
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;34.0
1986-03-01 00:00:00;1986;3;1;18.0
1986-04-01 00:00:00;1986;4;1;58.0
1986-05-01 00:00:00;1986;5;1;70.0
1986-06-01 00:00:00;1986;6;1;100.0
1986-07-01 00:00:00;1986;7;1;89.0
1986-08-01 00:00:00;1986;8;1;179.0
1986-09-01 00:00:00;1986;9;1;382.0
1986-10-01 00:00:00;1986;10;1;124.0
1986-11-01 00:00:00;1986;11;1;64.0
1986-12-01 00:00:00;1986;12;1;21.0
1987-01-01 00:00:00;1987;1;1;11.0
1987-02-01 00:00:00;1987;2;1;21.99
1987-03-01 00:00:00;1987;3;1;35.0
1987-04-01 00:00:00;1987;4;1;0.0
1987-05-01 00:00:00;1987;5;1;63.0
1987-06-01 00:00:00;1987;6;1;189.0
1987-07-01 00:00:00;1987;7;1;84.0
1987-08-01 00:00:00;1987;8;1;109.0
1987-09-01 00:00:00;1987;9;1;342.0
1987-10-01 00:00:00;1987;10;1;173.0
1987-11-01 00:00:00;1987;11;1;179.0
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;6.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;19.0
1988-04-01 00:00:00;1988;4;1;48.0
1988-05-01 00:00:00;1988;5;1;31.0
1988-06-01 00:00:00;1988;6;1;187.0
1988-07-01 00:00:00;1988;7;1;153.0
1988-08-01 00:00:00;1988;8;1;142.0
1988-09-01 00:00:00;1988;9;1;175.0
1988-10-01 00:00:00;1988;10;1;97.0
1988-11-01 00:00:00;1988;11;1;44.0
1988-12-01 00:00:00;1988;12;1;16.99
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;10.0
1989-04-01 00:00:00;1989;4;1;91.0
1989-05-01 00:00:00;1989;5;1;49.0
1989-06-01 00:00:00;1989;6;1;37.0
1989-07-01 00:00:00;1989;7;1;285.0
1989-08-01 00:00:00;1989;8;1;204.0
1989-09-01 00:00:00;1989;9;1;290.0
1989-10-01 00:00:00;1989;10;1;200.0
1989-11-01 00:00:00;1989;11;1;60.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;11.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;13.0
1990-04-01 00:00:00;1990;4;1;129.0
1990-05-01 00:00:00;1990;5;1;158.0
1990-06-01 00:00:00;1990;6;1;147.0
1990-07-01 00:00:00;1990;7;1;290.0
1990-08-01 00:00:00;1990;8;1;85.0
1990-09-01 00:00:00;1990;9;1;179.0
1990-10-01 00:00:00;1990;10;1;149.0
1990-11-01 00:00:00;1990;11;1;38.0
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;8.0
1991-02-01 00:00:00;1991;2;1;41.0
1991-03-01 00:00:00;1991;3;1;8.0
1991-04-01 00:00:00;1991;4;1;104.0
1991-05-01 00:00:00;1991;5;1;34.0
1991-06-01 00:00:00;1991;6;1;74.0
1991-07-01 00:00:00;1991;7;1;266.0
1991-08-01 00:00:00;1991;8;1;206.0
1991-09-01 00:00:00;1991;9;1;201.0
1991-10-01 00:00:00;1991;10;1;95.0
1991-11-01 00:00:00;1991;11;1;104.0
1991-12-01 00:00:00;1991;12;1;20.99
1992-01-01 00:00:00;1992;1;1;0.0
1992-02-01 00:00:00;1992;2;1;11.0
1992-03-01 00:00:00;1992;3;1;14.0
